"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","2","HX 3x4x2-2P-2.5N-04","A,B","SW-SMD_L4.0-W3.0-LS5.0","","HX 3x4x2-2P-2.5N-04","hanxia(韩下)","C54407262","LCSC"
"2","1","B2B-PH-K-S(LF)(SN)","BATTERY","CONN-TH_B2B-PH-K-S","","B2B-PH-K-S(LF)(SN)","JST","C131337","LCSC"
"3","5","100nF","C1,C2,C6,C8,C10","C0603","100nF","CL10B104KB8NNNC","SAMSUNG(三星)","C1591","LCSC"
"4","5","10uF","C3,C4,C5,C7,C9","C1206","10uF","CL31B106KBHNNNE","SAMSUNG(三星)","C89632","LCSC"
"5","8","1uF","C11,C12,C13,C14,C15,C16,C17,C18","C0603","1uF","CL10B105KA8NNNC","SAMSUNG(三星)","C29936","LCSC"
"6","5","HX PH254-01-04-Z-L11.5 straight pin header","EXTRA,GPIO,I2C,PWR,UART","HDR-TH_4P-HX-PH254-01-04-Z-L11.5","","HX PH254-01-04-Z-L11.5 straight pin header","hanxia(韩下)","C52016392","LCSC"
"7","24","HOLE","F1,F2,F3,F4,F5,F6,F7,F8,GND,GND,H7,H8,H18,H20,H21,H22,H24,H25,H26,H28,H29,H30,VCC,VCC","HOLEHOLE","","","","",""
"8","1","2.2uH","L1","L1008","2.2uH","APH252012C2R2MP01","APV(爱普微)","C42455362","LCSC"
"9","1","YLED0603R","LED1(RED)","LED0603-FD","","YLED0603R","YONGYUTAI(永裕泰)","C19171390","LCSC"
"10","1","YLED0603B","LED3(BLUE)","LED0603-FD","","YLED0603B","YONGYUTAI(永裕泰)","C19171394","LCSC"
"11","1","HS91L02W2C01","OLED2","OLED-TH_L38.0-W12.0_HS91L02W2C01","","HS91L02W2C01","HS(汉昇)","C5248081","LCSC"
"12","2","4.7kΩ","R1,R3","R0603","4.7kΩ","RC0603FR-074K7L","YAGEO(国巨)","C99782","LCSC"
"13","12","10kΩ","R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R16","R0603","10kΩ","RC0603FR-0710KL","YAGEO(国巨)","C98220","LCSC"
"14","2","330Ω","R13,R15","R0603","330Ω","RC0603FR-07330RL","YAGEO(国巨)","C105881","LCSC"
"15","1","472192001","SD_CARD","TF-SMD_472192001","","472192001","MOLEX","C164170","LCSC"
"16","1","PH2.54-1X5P-H25","SPI","HDR-TH_5P-P2.54-V-M-3","","PH2.54-1X5P-H25","JXTCONN(聚兴泰)","C42431835","LCSC"
"17","1","SS12D10G5","SWITCH","SW-TH_SHOU-HAN_SS12D10G4","","SS12D10G5","SHOU HAN(首韩)","C7431054","LCSC"
"18","1","DEV-15583","TEENSY 4.0","MODULE_DEV-15583","","","","",""
"19","1","BMI270","U2","LGA-14_L3.0-W2.5-P0.50-BR","","BMI270","Bosch(博世)","C2836813","LCSC"
"20","1","TPS63000DRCR","U3","SON-10_L3.1-W3.1-P0.50-TL-EP","","TPS63000DRCR","TI(德州仪器)","C24966","LCSC"
